id;type;nsat;size;l;tot_l
0;Standard;5;0;0.013333;0.013333
1;Standard;5;0;0.013333;0.026666
2;Standard;5;0;0.013333;0.039999
3;Standard;5;0;0.013333;0.053332
4;Standard;5;0;0.013333;0.066665
5;Standard;5;0;0.013333;0.079998
6;Standard;5;0;0.013333;0.093331
7;NAP;5;0;0.013333;0.106664
8;NAP;5;0;0.013333;0.119997
9;NAP;5;0;0.013333;0.13333
10;NAP;5;0;0.013333;0.146663
11;NAP;5;0;0.013333;0.159996
12;NAP;5;0;0.013333;0.173329
13;NAP;5;0;0.013333;0.186662
14;NAP;5;0;0.013333;0.199995
15;NAP;5;0;0.013333;0.213328
16;NAP;5;0;0.013333;0.226661
17;NAP;5;0;0.013333;0.239994
18;NAP;5;0;0.013333;0.253327
19;NAP;5;0;0.013333;0.26666
20;NAP;5;0;0.013333;0.279993
21;NAP;5;0;0.013333;0.293326
22;NAP;5;0;0.013333;0.306659
23;NAP;5;0;0.013333;0.319992
24;NAP;5;0;0.013333;0.333325
25;NAP;5;0;0.013333;0.346658
26;NAP;5;0;0.013333;0.359991
27;NAP;5;0;0.013333;0.373324
28;NAP;5;0;0.013333;0.386657
29;NAP;5;0;0.013333;0.39999
30;NAP;5;0;0.013333;0.413323
31;NAP;5;0;0.013333;0.426656
32;Standard;5;0;0.013333;0.439989
33;Standard;5;0;0.013333;0.453322
34;Standard;5;0;0.013333;0.466655
35;Standard;5;0;0.013333;0.479988
36;Standard;5;0;0.013333;0.493321
37;Standard;5;0;0.013333;0.506654
38;Standard;5;0;0.013333;0.519987
39;SR;0;68;0.042;0.561987
40;Standard;5;0;0.013333;0.57532
41;Standard;5;0;0.013333;0.588653
42;Standard;5;0;0.013333;0.601986
43;Standard;5;0;0.013333;0.615319
44;Standard;5;0;0.013333;0.628652
45;Standard;5;0;0.013333;0.641985
46;Standard;5;0;0.013333;0.655318
47;NAP;5;0;0.013333;0.668651
48;NAP;5;0;0.013333;0.681984
49;NAP;5;0;0.013333;0.695317
50;NAP;5;0;0.013333;0.70865
51;NAP;5;0;0.013333;0.721983
52;NAP;5;0;0.013333;0.735316
53;NAP;5;0;0.013333;0.748649
54;NAP;5;0;0.013333;0.761982
55;NAP;5;0;0.013333;0.775315
56;NAP;5;0;0.013333;0.788648
57;NAP;5;0;0.013333;0.801981
58;NAP;5;0;0.013333;0.815314
59;NAP;5;0;0.013333;0.828647
60;NAP;5;0;0.013333;0.84198
61;NAP;5;0;0.013333;0.855313
62;NAP;5;0;0.013333;0.868646
63;NAP;5;0;0.013333;0.881979
64;NAP;5;0;0.013333;0.895312
65;NAP;5;0;0.013333;0.908645
66;NAP;5;0;0.013333;0.921978
67;NAP;5;0;0.013333;0.935311
68;NAP;5;0;0.013333;0.948644
69;NAP;5;0;0.013333;0.961977
70;NAP;5;0;0.013333;0.97531
71;NAP;5;0;0.013333;0.988643
72;Standard;5;0;0.013333;1.001976
73;Standard;5;0;0.013333;1.015309
74;Standard;5;0;0.013333;1.028642
75;Standard;5;0;0.013333;1.041975
76;Standard;5;0;0.013333;1.055308
77;Standard;5;0;0.013333;1.068641
78;Standard;5;0;0.013333;1.081974
79;SR;0;72;0.042;1.123974
